Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,0,Graduate,No,2046,1620,165,360,1.0,Urban,Y
LP100001,Female,No,0,Not Graduate,No,5538,1595,149,360,1.0,Urban,Y
LP100002,Male,Yes,0,Graduate,Yes,8726,1609,484,360,0.0,Semiurban,N
LP100003,Male,No,0,Not Graduate,No,3764,2075,175,360,1.0,Urban,Y
LP100004,Male,No,3+,Graduate,No,3097,0,140,180,1.0,Semiurban,Y
LP100005,Male,Yes,0,Graduate,No,1778,3397,107,360,1.0,Rural,Y
LP100006,Male,No,0,Not Graduate,No,3435,0,144,360,1.0,Urban,Y
LP100007,Female,Yes,1,Graduate,No,1994,1450,65,240,1.0,Semiurban,Y
LP100008,Male,No,1,Graduate,No,1846,0,29,60,1.0,Urban,Y
LP100009,Male,Yes,0,Graduate,No,4140,3368,374,360,1.0,Urban,Y
LP100010,Male,No,2,Graduate,No,2751,0,48,360,1.0,Semiurban,Y
LP100011,Female,Yes,2,Graduate,No,5063,0,158,180,1.0,Rural,Y
LP100012,Female,Yes,0,Graduate,Yes,4219,0,193,360,1.0,Urban,Y
LP100013,Male,No,0,Graduate,No,2999,0,131,60,1.0,Semiurban,Y
LP100014,Male,Yes,3+,Not Graduate,Yes,1411,1027,77,360,1.0,Semiurban,Y
LP100015,Male,Yes,2,Graduate,No,2619,691,120,360,1.0,Urban,Y
LP100016,Male,Yes,1,Graduate,No,2673,1462,153,360,1.0,Semiurban,Y
LP100017,Male,No,0,Graduate,No,2134,0,40,360,0.0,Rural,N
LP100018,Male,Yes,0,Not Graduate,No,2734,2648,134,180,1.0,Semiurban,Y
LP100019,Male,Yes,0,Graduate,No,2228,1670,100,180,1.0,Urban,Y
LP100020,Male,Yes,0,Graduate,No,3826,0,108,300,1.0,Semiurban,Y
LP100021,Male,Yes,0,Not Graduate,Yes,4114,2140,154,360,0.0,Semiurban,N
LP100022,Male,Yes,1,Not Graduate,No,2080,1075,75,180,1.0,Urban,Y
LP100023,Male,Yes,0,Graduate,No,5291,726,165,120,1.0,Urban,N
LP100024,Male,Yes,2,Graduate,No,1980,2836,136,120,1.0,Urban,Y
LP100025,Female,Yes,2,Graduate,No,2271,5366,245,360,1.0,Urban,Y
LP100026,Male,Yes,0,Graduate,No,3934,9147,276,360,1.0,Urban,Y
LP100027,Male,No,2,Not Graduate,No,4782,0,204,360,1.0,Semiurban,N
LP100028,Male,Yes,0,Not Graduate,No,5280,0,238,360,1.0,Urban,Y
LP100029,Male,Yes,2,Graduate,No,10164,0,241,360,1.0,Rural,Y
LP100030,Male,No,0,Graduate,No,3404,0,66,360,1.0,Semiurban,Y
LP100031,Male,Yes,0,Graduate,No,3904,2136,243,360,1.0,Rural,Y
LP100032,Male,No,1,Not Graduate,No,1857,0,88,360,1.0,Semiurban,Y
LP100033,Female,Yes,0,Graduate,No,2101,2876,81,360,1.0,Urban,Y
LP100034,Female,Yes,2,Graduate,No,4748,1462,96,360,1.0,Semiurban,Y
LP100035,Female,Yes,0,Graduate,No,2733,1829,98,180,1.0,Rural,Y
LP100036,Male,No,0,Graduate,No,8247,986,360,360,1.0,Urban,Y
LP100037,Male,No,0,Graduate,No,1873,0,91,360,1.0,Urban,N
LP100038,Male,Yes,0,Not Graduate,No,4282,1124,223,360,0.0,Urban,N
LP100039,Male,Yes,0,Graduate,No,2408,2039,156,360,1.0,Semiurban,Y
LP100040,Male,No,1,Graduate,Yes,2933,0,116,360,1.0,Urban,Y
LP100041,Male,Yes,2,Graduate,No,5632,2840,195,360,1.0,Urban,Y
LP100042,Male,Yes,2,Not Graduate,No,2260,3174,212,360,0.0,Urban,N
LP100043,Female,No,3+,Graduate,No,3153,1758,129,360,0.0,Semiurban,N
LP100044,Male,No,0,Graduate,No,2679,0,61,36,1.0,Semiurban,Y
LP100045,Male,Yes,1,Not Graduate,No,8746,1492,238,360,1.0,Semiurban,Y
LP100046,Male,No,0,Not Graduate,No,2333,612,113,300,0.0,Semiurban,N
LP100047,Male,No,1,Not Graduate,No,3371,0,141,360,1.0,Semiurban,Y
LP100048,Male,Yes,0,Graduate,No,3747,0,133,360,1.0,Urban,Y
LP100049,Male,Yes,3+,Graduate,No,4729,3670,145,360,1.0,Semiurban,Y
LP100050,Female,Yes,1,Graduate,No,2986,1968,81,180,1.0,Urban,Y
LP100051,Male,No,3+,Graduate,No,3749,0,85,360,1.0,Semiurban,Y
LP100052,Female,No,2,Graduate,Yes,5720,0,143,360,1.0,Semiurban,Y
LP100053,Female,Yes,2,Graduate,No,2605,3401,175,360,0.0,Urban,N
LP100054,Male,No,2,Graduate,No,7623,0,135,240,1.0,Urban,Y
LP100055,Female,Yes,0,Graduate,No,8037,0,325,360,1.0,Urban,Y
LP100056,Male,Yes,0,Graduate,No,5845,736,263,120,1.0,Urban,Y
LP100057,Male,Yes,0,Not Graduate,No,3405,1080,122,360,1.0,Urban,N
LP100058,Male,Yes,0,Graduate,No,808,2661,120,360,1.0,Rural,Y
LP100059,Male,No,0,Graduate,No,5288,0,98,360,0.0,Urban,N
LP100060,Male,Yes,0,Graduate,No,3376,0,100,360,0.0,Semiurban,N
LP100061,Male,No,0,Graduate,No,3657,0,165,360,1.0,Semiurban,N
LP100062,Female,Yes,3+,Graduate,No,1475,3984,208,360,1.0,Semiurban,Y
LP100063,Male,Yes,2,Graduate,No,5493,2889,156,180,1.0,Rural,Y
LP100064,Male,No,0,Graduate,No,1888,0,84,360,1.0,Rural,Y
LP100065,Male,Yes,0,Not Graduate,Yes,3847,2395,242,360,1.0,Rural,Y
LP100066,Male,Yes,0,Graduate,No,6887,1203,250,120,1.0,Rural,Y
LP100067,Female,Yes,0,Graduate,No,3235,1383,181,120,1.0,Urban,Y
LP100068,Male,No,2,Graduate,No,8173,0,172,360,1.0,Semiurban,Y
LP100069,Female,Yes,0,Graduate,No,2776,2848,193,360,1.0,Rural,Y
LP100070,Male,Yes,0,Graduate,No,5826,1318,262,360,1.0,Semiurban,Y
LP100071,Male,Yes,2,Graduate,No,2043,0,97,360,1.0,Rural,Y
LP100072,Male,Yes,2,Graduate,Yes,8121,2025,176,360,1.0,Urban,Y
LP100073,Female,No,0,Not Graduate,No,5305,0,149,360,1.0,Semiurban,Y
LP100074,Male,Yes,1,Not Graduate,Yes,4664,2964,365,360,1.0,Rural,N
LP100075,Male,Yes,0,Not Graduate,No,2639,0,60,120,1.0,Urban,Y
LP100076,Male,Yes,0,Graduate,No,1937,0,84,240,1.0,Semiurban,Y
LP100077,Male,Yes,0,Graduate,No,3378,5382,132,180,0.0,Urban,N
LP100078,Male,No,0,Not Graduate,No,6035,0,96,360,1.0,Semiurban,N
LP100079,Male,Yes,0,Graduate,No,4497,766,139,60,1.0,Rural,Y
LP100080,Female,No,0,Not Graduate,No,1395,0,58,360,0.0,Semiurban,N
LP100081,Male,Yes,1,Graduate,No,2256,1102,63,360,1.0,Urban,Y
LP100082,Male,Yes,2,Graduate,No,8341,4743,372,240,1.0,Urban,Y
LP100083,Male,No,0,Graduate,No,5476,0,107,360,1.0,Rural,Y
LP100084,Male,Yes,0,Graduate,No,2124,0,48,360,1.0,Semiurban,Y
LP100085,Male,No,2,Not Graduate,Yes,1365,0,45,180,1.0,Urban,Y
LP100086,Male,No,0,Not Graduate,No,2324,0,61,240,1.0,Urban,Y
LP100087,Male,Yes,3+,Graduate,No,1512,2090,81,360,1.0,Rural,Y
LP100088,Female,Yes,1,Graduate,No,3843,0,111,180,1.0,Rural,N
LP100089,Male,No,0,Not Graduate,No,12620,0,499,360,0.0,Urban,N
LP100090,Male,Yes,0,Graduate,No,1740,835,49,360,1.0,Urban,Y
LP100091,Male,Yes,0,Graduate,No,3780,4287,256,360,1.0,Rural,Y
LP100092,Male,Yes,0,Graduate,No,8616,695,229,84,1.0,Semiurban,Y
LP100093,Male,Yes,0,Graduate,No,6322,690,198,240,1.0,Rural,Y
LP100094,Male,No,1,Graduate,No,3858,2594,282,360,1.0,Semiurban,Y
LP100095,Male,Yes,0,Graduate,No,3863,951,229,240,1.0,Semiurban,Y
LP100096,Male,Yes,0,Not Graduate,No,1735,1479,76,240,1.0,Semiurban,Y
LP100097,Male,Yes,1,Graduate,No,3975,0,147,360,1.0,Rural,Y
LP100098,Male,Yes,0,Graduate,No,4787,2996,301,60,0.0,Semiurban,N
LP100099,Male,Yes,0,Graduate,No,7689,1750,420,84,1.0,Urban,Y
LP100100,Male,No,0,Graduate,No,2977,0,138,360,1.0,Urban,Y
LP100101,Male,Yes,0,Graduate,No,3772,1998,181,360,1.0,Rural,Y
LP100102,Male,No,1,Graduate,No,2484,4083,324,360,1.0,Semiurban,Y
LP100103,Male,No,0,Graduate,No,4740,2362,348,360,1.0,Urban,Y
LP100104,Female,Yes,2,Graduate,No,6444,7178,446,360,1.0,Semiurban,Y
LP100105,Male,Yes,0,Graduate,No,5920,3771,329,360,0.0,Urban,N
LP100106,Male,Yes,0,Graduate,No,2200,2051,163,84,0.0,Urban,N
LP100107,Male,Yes,0,Graduate,No,4539,0,127,180,1.0,Urban,Y
